group,n,phishing_count,legit_count,accuracy,precision,recall,f1,roc_auc,fpr,fnr,specificity,sensitivity,tp,tn,fp,fn,dimension
Long (>31),15030,11236,3794,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3794,11236,0,0,url_length
Medium (25-31),14411,3927,10484,0.999931,0.999931,0.999931,0.999931,1.0,0.000255,0.0,0.999745,1.0,10484,3926,1,0,url_length
Short (≤25),17633,4941,12692,0.999887,0.999887,0.999887,0.999887,1.0,0.000405,0.0,0.999595,1.0,12692,4939,2,0,url_length
HTTPS,36880,9910,26970,0.999919,0.999919,0.999919,0.999919,1.0,0.000303,0.0,0.999697,1.0,26970,9907,3,0,https
Non-HTTPS,10194,10194,0,1.0,1.0,1.0,1.0,,0.0,0.0,1.0,0.0,0,10194,0,0,https
app,1271,1242,29,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,29,1242,0,0,tld
au,562,78,484,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,484,78,0,0,tld
br,369,124,245,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,245,124,0,0,tld
co,1113,1025,88,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,88,1025,0,0,tld
com,22550,8675,13875,0.999956,0.999956,0.999956,0.999956,1.0,0.000115,0.0,0.999885,1.0,13875,8674,1,0,tld
commercial,94,73,21,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,21,73,0,0,tld
country_code,1180,441,739,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,739,441,0,0,tld
de,785,119,666,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,666,119,0,0,tld
dev,491,486,5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5,486,0,0,tld
edu,380,1,379,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,379,1,0,0,tld
fr,410,118,292,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,292,118,0,0,tld
gov/edu,340,1,339,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,339,1,0,0,tld
info,312,179,133,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,133,179,0,0,tld
io,844,755,89,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,89,755,0,0,tld
it,343,37,306,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,306,37,0,0,tld
jp,442,22,420,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,420,22,0,0,tld
net,1349,598,751,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,751,598,0,0,tld
new_generic,361,343,18,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,18,343,0,0,tld
nl,323,31,292,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,292,31,0,0,tld
org,3733,446,3287,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3287,446,0,0,tld
rare,6964,3821,3143,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3143,3821,0,0,tld
ru,792,614,178,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,178,614,0,0,tld
site,298,296,2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2,296,0,0,tld
top,501,501,0,0.996008,1.0,0.996008,0.998,,0.003992,0.0,0.996008,0.0,0,499,2,0,tld
uk,1267,78,1189,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1189,78,0,0,tld
Long (>23),13607,8628,4979,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4979,8628,0,0,domain_length
Medium (17-23),16954,5455,11499,0.999941,0.999941,0.999941,0.999941,1.0,0.000183,0.0,0.999817,1.0,11499,5454,1,0,domain_length
Short (≤17),16513,6021,10492,0.999879,0.999879,0.999879,0.999879,1.0,0.000332,0.0,0.999668,1.0,10492,6019,2,0,domain_length
High (>34),15360,19,15341,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,15341,19,0,0,ext_resources
Low (≤1),15748,15477,271,0.999873,0.999874,0.999873,0.999873,0.999999,0.000129,0.0,0.999871,1.0,271,15475,2,0,ext_resources
Medium (1-34),15966,4608,11358,0.999937,0.999937,0.999937,0.999937,1.0,0.000217,0.0,0.999783,1.0,11358,4607,1,0,ext_resources
