feature,total_abs_contribution,rank
NoOfDegitsInURL,7.98679515,1
NoOfAmpersandInURL,4.08991461,2
LetterRatioInURL,4.03603901,3
LineOfCode,3.44118269,4
NoOfOtherSpecialCharsInURL,2.69368391,5
DomainLength,2.58585018,6
ObfuscationRatio,2.16682857,7
IsDomainIP,2.06644489,8
NoOfObfuscatedChar,2.05219119,9
LargestLineLength,1.52051257,10
NoOfEqualsInURL,1.4381164,11
HasObfuscation,1.27677184,12
SpacialCharRatioInURL,0.91615214,13
TLD,0.79272899,14
NoOfExternalRef,0.76347662,15
NoOfSelfRef,0.68609052,16
NoOfSelfRedirect,0.27744349,17
NoOfPopup,0.26190305,18
URLCharProb,0.25812524,19
Crypto,0.25693937,20
