rank,feature_A,feature_B,interaction_strength
1,IsHTTPS,LineOfCode,5.563998005471974
2,LineOfCode,NoOfSelfRef,3.9218045813304383
3,DomainLength,LetterRatioInURL,3.239423266614906
4,LineOfCode,NoOfExternalRef,2.9863059618418317
5,LineOfCode,LargestLineLength,2.770466244430382
6,NoOfDegitsInURL,LineOfCode,2.694365794259262
7,LineOfCode,NoOfImage,2.471982230182426
8,IsHTTPS,NoOfSelfRef,2.2741882821892805
9,NoOfDegitsInURL,NoOfOtherSpecialCharsInURL,2.2359032940176573
10,LetterRatioInURL,LineOfCode,2.093168059954368
11,LineOfCode,ContentComplexityScore,1.9975404611894108
12,IsHTTPS,LargestLineLength,1.9204673575593503
13,IsHTTPS,NoOfExternalRef,1.7869472754670772
14,LineOfCode,NoOfJS,1.7826556305452113
15,LetterRatioInURL,NoOfOtherSpecialCharsInURL,1.726442796984268
16,NoOfDegitsInURL,NoOfSelfRef,1.7142608303172917
17,NoOfOtherSpecialCharsInURL,LineOfCode,1.6822054467043877
18,NoOfSelfRef,NoOfExternalRef,1.5706554740281284
19,LineOfCode,TrustBadgeScore,1.42765697064883
20,LineOfCode,HasSocialNet,1.4094179830385898
